name,cbsa_code
"Arecibo, PR",11640
"Arkadelphia, AR",11660
"Arkansas City-Winfield, KS",11680
"Asheville, NC",11700
"Ashland, OH",11740
"Astoria, OR",11820
"Atchison, KS",11860
"Athens, OH",11900
"Athens, TN",11940
"Athens, TX",11980
"Athens-Clarke County, GA",12020
"Atlanta-Sandy Springs-Roswell, GA",12060
"Atlantic City-Hammonton, NJ",12100
"Auburn, IN",12140
"Auburn, NY",12180
"Auburn-Opelika, AL",12220
"Augusta-Richmond County, GA-SC",12260
"Augusta-Waterville, ME",12300
"Austin, MN",12380
"Austin-Round Rock-San Marcos, TX",12420
"Bainbridge, GA",12460
"Baker City, OR",12520
"Bakersfield-Delano, CA",12540
"Baltimore-Columbia-Towson, MD",12580
"Bangor, ME",12620
"Baraboo, WI",12660
"Barnstable Town, MA",12700
"Barre, VT",12740
"Bartlesville, OK",12780
"Batavia, NY",12860
"Batesville, AR",12900
"Baton Rouge, LA",12940
"Pittsburg, KS",38260
"Pittsburgh, PA",38300
"Pittsfield, MA",38340
"Plainview, TX",38380
"Platteville, WI",38420
"Plattsburgh, NY",38460
"Plymouth, IN",38500
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980
"Pocatello, ID",38540
"Ponca City, OK",38620
"Ponce, PR",38660
"Pontiac, IL",38700
"Poplar Bluff, MO",38740
"Phoenix-Mesa-Chandler, AZ",38060
"Port Angeles, WA",38820
"Portland-South Portland, ME",38860
"Portland-Vancouver-Hillsboro, OR-WA",38900
"Picayune, MS",38100
"Pierre, SD",38180
"Pikeville, KY",38210
"Pine Bluff, AR",38220
"Pinehurst-Southern Pines, NC",38240
"Port Lavaca, TX",38920
"Port St. Lucie, FL",38940
"Portsmouth, OH",39020
"Port Townsend, WA",39040
"Pottsville, PA",39060
"Prescott Valley-Prescott, AZ",39150
"Price, UT",39220
"Providence-Warwick, RI-MA",39300
"Provo-Orem-Lehi, UT",39340
"Pueblo, CO",39380
"Pullman, WA",39420
"Punta Gorda, FL",39460
"Putnam, CT",39480
"Quincy, IL-MO",39500
"Racine-Mount Pleasant, WI",39540
"Raleigh-Cary, NC",39580
"Rapid City, SD",39660
"Raymondville, TX",39700
"Reading, PA",39740
"Red Bluff, CA",39780
"Redding, CA",39820
"Red Wing, MN",39860
"Reno, NV",39900
"Rexburg, ID",39940
"Rice Lake, WI",39960
"Richmond, IN",39980
"Richmond, VA",40060
"Richmond-Berea, KY",40080
"Rifle, CO",40090
"Rio Grande City-Roma, TX",40100
"Riverside-San Bernardino-Ontario, CA",40140
"Riverton, WY",40180
"Roanoke, VA",40220
"Battle Creek, MI",12980
"Bay City, MI",13020
"Bay City, TX",13060
"Beatrice, NE",13100
"Beaumont-Port Arthur, TX",13140
"Beaver Dam, WI",13180
"Beckley, WV",13220
"Bedford, IN",13260
"Beeville, TX",13300
"Bellefontaine, OH",13340
"Bellingham, WA",13380
"Bemidji, MN",13420
"Bend, OR",13460
"Bennington, VT",13540
"Big Rapids, MI",13660
"Big Spring, TX",13700
"Billings, MT",13740
"Binghamton, NY",13780
"Birmingham, AL",13820
"Bishop, CA",13860
"Bismarck, ND",13900
"Blackfoot, ID",13940
"Blacksburg-Christiansburg-Radford, VA",13980
"Bloomington, IL",14010
"Bloomington, IN",14020
"Bloomsburg-Berwick, PA",14100
"Bluefield, WV-VA",14140
"Blytheville, AR",14180
"Bogalusa, LA",14220
"Boise City, ID",14260
"Bonham, TX",14300
"Boone, NC",14380
"Borger, TX",14420
"Boston-Cambridge-Newton, MA-NH",14460
"Boulder, CO",14500
"Bowling Green, KY",14540
"Bozeman, MT",14580
"Bradford, PA",14620
"Brainerd, MN",14660
"Branson, MO",14700
"Brattleboro, VT",14710
"Breckenridge, CO",14720
"Bremerton-Silverdale-Port Orchard, WA",14740
"Brenham, TX",14780
"Brevard, NC",14820
"Bridgeport-Stamford-Danbury, CT",14860
"Brigham City, UT-ID",14940
"Brookhaven, MS",15020
"Brookings, OR",15060
"Brookings, SD",15100
"Brownsville-Harlingen, TX",15180
"Brownwood, TX",15220
"Brunswick-St. Simons, GA",15260
"Bucyrus, OH",15340
"Buffalo-Cheektowaga, NY",15380
"Roanoke Rapids, NC",40260
"Rochelle, IL",40300
"Rochester, MN",40340
"Rochester, NY",40380
"Rockford, IL",40420
"Rockingham, NC",40460
"Rock Springs, WY",40540
"Rocky Mount, NC",40580
"Rolla, MO",40620
"Rome, GA",40660
"Roseburg, OR",40700
"Roswell, NM",40740
"Ruidoso, NM",40760
"Russellville, AL",40770
"Russellville, AR",40780
"Ruston, LA",40820
"Rutland, VT",40860
"Sacramento-Roseville-Folsom, CA",40900
"Safford, AZ",40940
"Saginaw, MI",40980
"St. Cloud, MN",41060
"St. George, UT",41100
"St. Joseph, MO-KS",41140
"St. Louis, MO-IL",41180
"Burley, ID",15420
"Burlington, IA-IL",15460
"Burlington, NC",15500
"Burlington-South Burlington, VT",15540
"Butte-Silver Bow, MT",15580
"Cadillac, MI",15620
"Calhoun, GA",15660
"Cambridge, MD",15700
"Cambridge, OH",15740
"Camden, AR",15780
"Campbellsville, KY",15820
"Cañon City, CO",15860
"Canton, IL",15900
"Canton-Massillon, OH",15940
"Cape Coral-Fort Myers, FL",15980
"Cape Girardeau, MO-IL",16020
"Carbondale, IL",16060
"Carlsbad-Artesia, NM",16100
"Carroll, IA",16140
"Carson City, NV",16180
"Casper, WY",16220
"Cedar City, UT",16260
"Cedar Rapids, IA",16300
"Cedartown, GA",16340
"Celina, OH",16380
"Centralia, IL",16460
"Centralia, WA",16500
"Chambersburg, PA",16540
"Champaign-Urbana, IL",16580
"Charleston, WV",16620
"Charleston-Mattoon, IL",16660
"Charleston-North Charleston, SC",16700
"Charlotte-Concord-Gastonia, NC-SC",16740
"Charlottesville, VA",16820
"Chattanooga, TN-GA",16860
"Cheyenne, WY",16940
"Chicago-Naperville-Elgin, IL-IN",16980
"Chico, CA",17020
"Chillicothe, OH",17060
"Cincinnati, OH-KY-IN",17140
"Clarksburg, WV",17220
"Clarksdale, MS",17260
"Clarksville, TN-KY",17300
"Clearlake, CA",17340
"Cleveland, MS",17380
"Cleveland, OH",17410
"Cleveland, TN",17420
"Clewiston, FL",17500
"Clinton, IA",17540
"Clovis, NM",17580
"Coamo, PR",17620
"Coco, PR",17640
"Cody, WY",17650
"Coeur d'Alene, ID",17660
"Coldwater, MI",17740
"St. Marys, PA",41260
"Salem, OH",41400
"Salem, OR",41420
"Salina, KS",41460
"Salinas, CA",41500
"Salisbury, MD",41540
"Salt Lake City-Murray, UT",41620
"San Angelo, TX",41660
"San Antonio-New Braunfels, TX",41700
"San Diego-Chula Vista-Carlsbad, CA",41740
"Sandpoint, ID",41760
"Sandusky, OH",41780
"Sanford, NC",41820
"San Francisco-Oakland-Fremont, CA",41860
"San Jose-Sunnyvale-Santa Clara, CA",41940
"San Juan-Bayamón-Caguas, PR",41980
"San Luis Obispo-Paso Robles, CA",42020
"Santa Cruz-Watsonville, CA",42100
"Santa Fe, NM",42140
"Santa Maria-Santa Barbara, CA",42200
"Santa Rosa-Petaluma, CA",42220
"Sault Ste. Marie, MI",42300
"Savannah, GA",42340
"Sayre, PA",42380
"Scottsbluff, NE",42420
"Scottsboro, AL",42460
"Scranton--Wilkes-Barre, PA",42540
"Seaford, DE",42580
"Searcy, AR",42620
"Seattle-Tacoma-Bellevue, WA",42660
"Sebastian-Vero Beach-West Vero Corridor, FL",42680
"Sebring, FL",42700
"Sedalia, MO",42740
"Selinsgrove, PA",42780
"Selma, AL",42820
"Seneca, SC",42860
"Seneca Falls, NY",42900
"Sevierville, TN",42940
"Seymour, IN",42980
"Shawano, WI",43020
"Shawnee, OK",43060
"Sheboygan, WI",43100
"Shelby-Kings Mountain, NC",43140
"Shelbyville, TN",43180
"Shelton, WA",43220
"Sheridan, WY",43260
"Sherman-Denison, TX",43300
"Show Low, AZ",43320
"Shreveport-Bossier City, LA",43340
"Sidney, OH",43380
"Sierra Vista-Douglas, AZ",43420
"Sikeston, MO",43460
"Silver City, NM",43500
"Sioux City, IA-NE-SD",43580
"College Station-Bryan, TX",17780
"Colorado Springs, CO",17820
"Columbia, MO",17860
"Columbia, SC",17900
"Columbus, GA-AL",17980
"Columbus, IN",18020
"Columbus, MS",18060
"Columbus, NE",18100
"Columbus, OH",18140
"Concord, NH",18180
"Connersville, IN",18220
"Cookeville, TN",18260
"Coos Bay-North Bend, OR",18300
"Corbin, KY",18340
"Cordele, GA",18380
"Corinth, MS",18420
"Cornelia, GA",18460
"Corning, NY",18500
"Corpus Christi, TX",18580
"Corsicana, TX",18620
"Cortland, NY",18660
"Corvallis, OR",18700
"Coshocton, OH",18740
"Crawfordsville, IN",18820
"Crescent City, CA",18860
"Crestview-Fort Walton Beach-Destin, FL",18880
"Crossville, TN",18900
"Cullman, AL",18980
"Cumberland, MD-WV",19060
"Dallas-Fort Worth-Arlington, TX",19100
"Dalton, GA",19140
"Danville, IL",19180
"Danville, KY",19220
"Danville, VA",19260
"Daphne-Fairhope-Foley, AL",19300
"Davenport-Moline-Rock Island, IA-IL",19340
"Dayton-Kettering-Beavercreek, OH",19430
"Decatur, AL",19460
"Decatur, IL",19500
"Decatur, IN",19540
"Defiance, OH",19580
"Del Rio, TX",19620
"Deltona-Daytona Beach-Ormond Beach, FL",19660
"Deming, NM",19700
"Denver-Aurora-Centennial, CO",19740
"DeRidder, LA",19760
"Des Moines-West Des Moines, IA",19780
"Detroit Lakes, MN",19810
"Detroit-Warren-Dearborn, MI",19820
"Dickinson, ND",19860
"Dixon, IL",19940
"Dodge City, KS",19980
"Dothan, AL",20020
"Douglas, GA",20060
"Dover, DE",20100
"Sioux Falls, SD-MN",43620
"Slidell-Mandeville-Covington, LA",43640
"Snyder, TX",43660
"Somerset, KY",43700
"Somerset, PA",43740
"Sonora, CA",43760
"South Bend-Mishawaka, IN-MI",43780
"Sparta, WI",43890
"Spartanburg, SC",43900
"Spearfish, SD",43940
"Spencer, IA",43980
"Spirit Lake, IA",44020
"Spokane-Spokane Valley, WA",44060
"Springfield, IL",44100
"Springfield, MA",44140
"Springfield, MO",44180
"Springfield, OH",44220
"Starkville, MS",44260
"State College, PA",44300
"Statesboro, GA",44340
"Staunton-Stuarts Draft, VA",44420
"Steamboat Springs, CO",44460
"Stephenville, TX",44500
"Sterling, CO",44540
"Sterling, IL",44580
"Stevens Point-Plover, WI",44620
"Stillwater, OK",44660
"Stockton-Lodi, CA",44700
"Storm Lake, IA",44740
"Sturgis, MI",44780
"Sulphur Springs, TX",44860
"Summerville, GA",44900
"Sumter, SC",44940
"Sunbury, PA",44980
"Susanville, CA",45000
"Sweetwater, TX",45020
"Syracuse, NY",45060
"Tahlequah, OK",45140
"Talladega-Sylacauga, AL",45180
"Tallahassee, FL",45220
"Tampa-St. Petersburg-Clearwater, FL",45300
"Taos, NM",45340
"Taylorville, IL",45380
"Terre Haute, IN",45460
"Texarkana, TX-AR",45500
"The Dalles, OR",45520
"Thomaston, GA",45580
"Thomasville, GA",45620
"Tiffin, OH",45660
"Tifton, GA",45700
"Toccoa, GA",45740
"Toledo, OH",45780
"Topeka, KS",45820
"Torrington, CT",45860
"Town of Pecos, TX",45880
"Dublin, GA",20140
"DuBois, PA",20180
"Dubuque, IA",20220
"Duluth, MN-WI",20260
"Dumas, TX",20300
"Duncan, OK",20340
"Durango, CO",20420
"Durant, OK",20460
"Durham-Chapel Hill, NC",20500
"Dyersburg, TN",20540
"Eagle Pass, TX",20580
"Easton, MD",20660
"East Stroudsburg, PA",20700
"Eau Claire, WI",20740
"Edwards, CO",20780
"Effingham, IL",20820
"El Campo, TX",20900
"El Centro, CA",20940
"El Dorado, AR",20980
"Elizabeth City, NC",21020
"Elizabethtown, KY",21060
"Elk City, OK",21120
"Elkhart-Goshen, IN",21140
"Elkins, WV",21180
"Elko, NV",21220
"Ellensburg, WA",21260
"Elmira, NY",21300
"El Paso, TX",21340
"Emporia, KS",21380
