income_group,country
Upper middle income,Argentina
High income,Australia
High income,Austria
High income,Belgium
Low income,Burkina Faso
Lower middle income,Bangladesh
Lower middle income,Bolivia
Upper middle income,Brazil
High income,Barbados
Upper middle income,Botswana
Low income,Central African Republic
High income,Canada
High income,Switzerland
High income,Chile
Upper middle income,China
Lower middle income,Cote d'Ivoire
Upper middle income,Colombia
Upper middle income,Costa Rica
High income,Cyprus
High income,Germany
High income,Denmark
Lower middle income,Algeria
Upper middle income,Ecuador
Lower middle income,Egypt
High income,Spain
High income,Finland
High income,France
High income,United Kingdom
Lower middle income,Ghana
Low income,Gambia
High income,Greece
Upper middle income,Guatemala
Lower middle income,Honduras
Upper middle income,Indonesia
Lower middle income,India
High income,Ireland
Lower middle income,Iran
High income,Italy
Upper middle income,Jamaica
Lower middle income,Jordan
High income,Japan
Lower middle income,Kenya
High income,South Korea
Lower middle income,Sri Lanka
Lower middle income,Lesotho
High income,Luxembourg
Lower middle income,Morocco
Low income,Madagascar
Upper middle income,Mexico
Low income,Mali
Lower middle income,Mauritania
Upper middle income,Mauritius
Low income,Malawi
Upper middle income,Malaysia
Low income,Niger
Lower middle income,Nigeria
High income,Netherlands
High income,Norway
Lower middle income,Nepal
High income,New Zealand
Lower middle income,Pakistan
High income,Panama
Upper middle income,Peru
Lower middle income,Philippines
High income,Portugal
Upper middle income,Paraguay
Low income,Rwanda
Lower middle income,Senegal
High income,Singapore
Low income,Sierra Leone
Upper middle income,El Salvador
High income,Sweden
Upper middle income,Thailand
High income,Trinidad and Tobago
Lower middle income,Tunisia
Upper middle income,Turkey
Low income,Uganda
High income,Uruguay
High income,United States
Upper middle income,South Africa
Lower middle income,Zambia
Lower middle income,Zimbabwe
