spec,iso,country,income_group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
base,ABW,Aruba,High income,(Intercept),-3.6121790734967976e-4,2.3135611678256783e-4,-1.5613069253282728,0.1305422673709839,-8.146758962435127e-4,9.224008154415316e-5
base,ABW,Aruba,High income,"L(dy, 1)",0.9015294120940486,0.08204729022831268,10.98792427617495,2.8779366255839524e-11,0.7407167232465557,1.0623421009415415
base,ABW,Aruba,High income,dd,-0.0023684645866577747,0.0017815519958504114,-1.3294389342407067,0.1952508787115558,-0.005860306498524581,0.0011233773252090316
base,AGO,Angola,Lower middle income,(Intercept),6.646094168024477e-5,7.678088366116524e-4,0.08655922999471787,0.9316850551733107,-0.001438444378078594,0.0015713662614390835
base,AGO,Angola,Lower middle income,"L(dy, 1)",0.777604490232197,0.10293117780214774,7.554605969115528,5.0899540186768824e-8,0.5758593817399875,0.9793495987244065
base,AGO,Angola,Lower middle income,dd,0.006374248997901955,0.002873924260542416,2.2179599808586805,0.03550172824445422,7.413574472388195e-4,0.012007140548565092
base,ALB,Albania,Lower middle income,(Intercept),7.271479029752582e-4,0.001027704280378573,0.7075458542484618,0.48552179793851924,-0.0012871524865667448,0.002741448292517261
base,ALB,Albania,Lower middle income,"L(dy, 1)",0.0029042485557439807,0.19357417947872713,0.01500328485733369,0.988144097579072,-0.3765011432225612,0.3823096403340492
base,ALB,Albania,Lower middle income,dd,0.017882918303757624,0.010305683208728844,1.73524820640818,0.09453724053409643,-0.00231622078535091,0.03808205739286616
base,ARE,United Arab Emirates,High income,(Intercept),-2.3902016961825038e-4,0.0010543112123839837,-0.2267074150504229,0.8224947801367772,-0.0023054701458908584,0.0018274298066543577
base,ARE,United Arab Emirates,High income,"L(dy, 1)",0.7092470328548374,0.138628408796376,5.1161737988106974,2.7602128597752507e-5,0.4375353516139404,0.9809587140957343
base,ARE,United Arab Emirates,High income,dd,0.0017447648705720782,0.0037358366812662,0.46703456800491583,0.6445200424183672,-0.005577475024709674,0.00906700476585383
base,ARE,United Arab Emirates,High income,"L(dd, 1)",-0.010864212968497683,0.003685356324364509,-2.9479409892260753,0.00684023952494372,-0.018087511364252122,-0.0036409145727432455
base,ARG,Argentina,Upper middle income,(Intercept),-0.0038823067075403487,0.003056204016651867,-1.2703035158606637,0.2152270159256582,-0.009872466580178006,0.0021078531650973098
base,ARG,Argentina,Upper middle income,"L(dy, 1)",-0.2851153261426597,0.18098951850304895,-1.5753140209489902,0.1272751079841181,-0.6398547824086356,0.0696241301233162
base,ARG,Argentina,Upper middle income,dd,0.026920894635095827,0.01167169281527112,2.3065115798689297,0.029307852419872285,0.004044376717164431,0.04979741255302722
base,ARM,Armenia,Lower middle income,(Intercept),0.0035805263362823658,0.005081010844719926,0.7046877965244198,0.4872694965579506,-0.00637825491936869,0.013539307591933421
base,ARM,Armenia,Lower middle income,"L(dy, 1)",0.2658365491467291,0.20084184306389968,1.3236113804340601,0.1971532678044237,-0.12781346325851428,0.6594865615519725
base,ARM,Armenia,Lower middle income,dd,0.006209048020163199,0.025333719324871787,0.24509026647608614,0.8083106926930251,-0.0434450418565855,0.0558631378969119
