iso,country,max_integration,vars_i0,vars_i1,vars_i2,ardl_valid,mix
ARE,United Arab Emirates,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
ARG,Argentina,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
AUS,Australia,1,1,2,0,TRUE,"1 I(0), 2 I(1), 0 I(2)+"
AUT,Austria,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
BDI,Burundi,2,0,1,2,FALSE,"0 I(0), 1 I(1), 2 I(2)+"
BEL,Belgium,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
BEN,Benin,2,0,2,1,FALSE,"0 I(0), 2 I(1), 1 I(2)+"
BFA,Burkina Faso,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
BGD,Bangladesh,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
BHR,Bahrain,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
BHS,Bahamas,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
BLZ,Belize,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
BOL,Bolivia,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
BRA,Brazil,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
BRB,Barbados,2,1,0,2,FALSE,"1 I(0), 0 I(1), 2 I(2)+"
BWA,Botswana,2,1,0,2,FALSE,"1 I(0), 0 I(1), 2 I(2)+"
CAF,Central African Republic,2,1,0,2,FALSE,"1 I(0), 0 I(1), 2 I(2)+"
CAN,Canada,1,1,2,0,TRUE,"1 I(0), 2 I(1), 0 I(2)+"
CHE,Switzerland,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
CHL,Chile,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
CIV,Cote d'Ivoire,1,0,3,0,TRUE,"0 I(0), 3 I(1), 0 I(2)+"
