spec,iso,country,income_group,variable,sum_beta,lr_multiplier
base,ABW,Aruba,High income,dd,-0.0023684645866577747,-0.024052507830255657
base,AGO,Angola,Lower middle income,dd,0.006374248997901955,0.02866177021540198
base,ALB,Albania,Lower middle income,dd,0.017882918303757624,0.017935006019085813
base,ARE,United Arab Emirates,High income,dd,-0.009119448097925604,-0.03136493562720062
base,ARG,Argentina,Upper middle income,dd,0.026920894635095827,0.02094823249513356
base,ARM,Armenia,Lower middle income,dd,0.006209048020163199,0.008457310171116287
base,ATG,Antigua and Barbuda,Upper middle income,dd,-8.854122827033211e-4,-0.010389484505823436
base,AUS,Australia,High income,dd,-0.009834629166915325,-0.011432785136335364
base,AUT,Austria,High income,dd,-0.0045948537650924715,-0.0029383128407884994
base,AZE,Azerbaijan,Upper middle income,dd,0.010156475649388371,0.017643923060956173
base,BDI,Burundi,Low income,dd,5.29220240960331e-4,0.0021745163279569273
base,BEL,Belgium,High income,dd,-0.05587027316482579,-0.05324416081848971
base,BEN,Benin,Low income,dd,-0.01010140029290158,-0.038691232956497526
base,BFA,Burkina Faso,Low income,dd,0.0046479140388140695,0.012135607790716926
base,BGD,Bangladesh,Low income,dd,0.04027337136903182,0.09662657493504719
base,BGR,Bulgaria,Lower middle income,dd,0.028117649846527606,0.03962024439240426
base,BHR,Bahrain,High income,dd,0.02280367391116825,0.05330201146776675
base,BHS,Bahamas,High income,dd,-0.021039573408151966,-0.016864682856721585
base,BLR,Belarus,Upper middle income,dd,0.0011102931904868828,0.0014725997065862667
base,BLZ,Belize,Lower middle income,dd,0.006470218056123654,0.005662308303808549
base,BOL,Bolivia,Lower middle income,dd,-0.0019132368489629147,-0.0015728704143033463
base,BRA,Brazil,Upper middle income,dd,0.0021843922469284766,0.00208884267810134
base,BRB,Barbados,High income,dd,-6.938857892979258e-5,-8.225371650967303e-4
base,BTN,Bhutan,Low income,dd,-0.023122435037179853,-0.07863354550526279
base,BWA,Botswana,Upper middle income,dd,-4.1307691572408837e-4,-0.0017591753482487022
base,CAF,Central African Republic,Low income,dd,0.003452406822360325,0.29080447056678643
base,CAN,Canada,High income,dd,-0.04158490307246974,-0.04927045056723257
base,CHE,Switzerland,High income,dd,0.012918066731360416,0.01602276777041331
base,CHL,Chile,Upper middle income,dd,1.9449679151897846e-4,3.6616953253605075e-4
base,CHN,China,Lower middle income,dd,0.016519463024430168,0.022174939147496756
base,CIV,Cote d'Ivoire,Lower middle income,dd,0.004098986821377469,0.009284190312978195
base,CMR,Cameroon,Lower middle income,dd,-0.0013562685204482556,-0.007866199295842927
base,COD,DR Congo,Low income,dd,1.415102300822701e-4,0.0025164862442478564
