spec,iso,country,income_group,status,best_order,n_obs,r2,adj_r2,aic,bic,sigma,lr_dd,sum_phi,f_stat,f_pvalue,ect_coef,ecm_r2
base,ALB,Albania,Upper middle income,insufficient_obs,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
base,ARE,United Arab Emirates,High income,ok,"(1,1)",42,0.5508909827095916,0.5154350076603488,-334.8256630786196,-326.13731498720273,0.004194570946998528,-0.025094694064720785,0.7094241240682682,6.818438211939036,0.021930191706189015,-0.2905758759317316,0.35562735758461234
base,ARG,Argentina,Upper middle income,ok,"(1,0)",42,0.15845139196874675,0.11529505309534904,-231.33553059592245,-224.38485212278897,0.014536143815042452,0.013562997094301506,-0.2298790428660335,NA,NA,-1.229879042866033,0.6390951368190915
base,ATG,Antigua and Barbuda,High income,ok,"(1,1)",32,0.7208343353954039,0.6909237284734828,-341.0526444209732,-333.7239649069746,0.0010729210401523783,0.013352118025094098,0.8586644011579384,1.4784203220326089,0.6931934963203934,-0.14133559884206143,0.22571617847646794
base,AUS,Australia,High income,ok,"(1,0)",71,0.10698567115886373,0.08072054384000682,-445.2873930016238,-436.2366734934585,0.010157761491771227,0.009157341062281462,-0.29686081788313046,NA,NA,-1.2968608178831305,0.6568735568543452
base,AUT,Austria,High income,ok,"(1,0)",42,0.2991373239693056,0.26319564827542374,-324.9704485739461,-318.01977010081265,0.004768047158121381,-0.0032682998081932407,-0.5590867937182313,NA,NA,-1.559086793718231,0.7715618336353848
base,AZE,Azerbaijan,Upper middle income,insufficient_obs,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
base,BDI,Burundi,Low income,ok,"(1,0)",42,0.5741286543496977,0.5522890981625027,-340.52113909945206,-333.5704606263186,0.00396224011962109,0.0014730113359663207,0.7585515584801145,2.7041085661771422,0.38348609073754586,-0.24144844151988512,0.12178415351005045
base,BEL,Belgium,High income,ok,"(1,0)",42,0.08267858472925321,0.0356364608692149,-314.7635710232355,-307.81289255010205,0.005384084394589932,-0.0356772761341923,0.05373720590783536,NA,NA,-0.946262794092164,0.49180803681173574
base,BEN,Benin,Lower middle income,ok,"(1,1)",42,0.565828602863756,0.5315519136161578,-313.43786593377394,-304.7495178423571,0.0054108580792825356,-0.025218796053553538,0.7231300417006533,4.073155488823245,0.1634222654625421,-0.27686995829934646,0.1794938965003749
base,BFA,Burkina Faso,Low income,ok,"(1,0)",42,0.3951747042446554,0.364158022411048,-276.0269519881849,-269.07627351505147,0.00853860370544761,0.006970106139710176,0.6256559062559052,4.525839806987714,0.12052316593053397,-0.3743440937440948,0.18837384430039414
base,BGD,Bangladesh,Lower middle income,ok,"(1,1)",42,0.39287579307884335,0.3449449346376994,-319.07177440949386,-310.383426318077,0.005059852593387367,0.04067244234954633,0.5849752891527722,5.73526019483645,0.05028863542733102,-0.41502471084722803,0.24489280181718476
base,BGR,Bulgaria,Upper middle income,ok,"(1,1)",41,0.18569744405940689,0.11967291249665613,-206.64660114285553,-198.078740809334,0.018139866796041577,0.019461411769170708,0.34093761762410535,10.350239836681606,0.001424744686888642,-0.6590623823758948,0.36447466449208005
