spec,dv,country,income_group,n_obs,status,aic,bic,best_order
Baseline (p=3),p90p100,Algeria,Lower middle income,42,ok,-276.5261777915819,-256.2596243422147,"(2,0,2,0,2)"
Baseline (p=3),p90p100,Argentina,Upper middle income,42,ok,-230.0105909154388,-216.30201438180433,"(1,0,0,1,0)"
Baseline (p=3),p90p100,Australia,High income,42,ok,-279.4516553610637,-267.45665089413353,"(1,0,0,0,0)"
Baseline (p=3),p90p100,Austria,High income,42,ok,-322.1685251098124,-308.4599485761779,"(1,0,0,1,0)"
Baseline (p=3),p90p100,Bahamas,High income,42,ok,-341.36911257532614,-329.374108108396,"(1,0,0,0,0)"
Baseline (p=3),p90p100,Bahrain,High income,42,ok,-276.7171228968929,-254.7616899934117,"(2,2,1,0,2)"
Baseline (p=3),p90p100,Bangladesh,Low income,42,ok,-329.9314849853165,-313.04269044417714,"(2,1,0,1,0)"
Baseline (p=3),p90p100,Belgium,High income,42,ok,-317.60742029246404,-303.89884375882957,"(1,1,0,0,0)"
Baseline (p=3),p90p100,Belize,Lower middle income,42,ok,-336.5426768895449,-322.83410035591044,"(1,1,0,0,0)"
Baseline (p=3),p90p100,Bolivia,Lower middle income,42,ok,-326.6265595636755,-314.6315550967454,"(1,0,0,0,0)"
Baseline (p=3),p90p100,Brazil,Upper middle income,42,ok,-294.22057480245024,-282.2255703355201,"(1,0,0,0,0)"
Baseline (p=3),p90p100,Burkina Faso,Low income,42,ok,-275.27556174347654,-256.69788774822325,"(2,1,0,2,0)"
Baseline (p=3),p90p100,Canada,High income,42,ok,-317.439826610159,-303.73125007652453,"(1,1,0,0,0)"
Baseline (p=3),p90p100,Chile,Upper middle income,42,ok,-281.55641592431266,-269.5614114573825,"(1,0,0,0,0)"
Baseline (p=3),p90p100,Colombia,Lower middle income,42,ok,-257.01698091763757,-245.02197645070743,"(1,0,0,0,0)"
Baseline (p=3),p90p100,Costa Rica,Upper middle income,42,ok,-299.4560836792375,-287.46107921230737,"(1,0,0,0,0)"
Baseline (p=3),p90p100,Cote d'Ivoire,Lower middle income,42,ok,-224.19586660238224,-210.48729006874777,"(1,1,0,0,0)"
Baseline (p=3),p90p100,Cyprus,High income,42,ok,-213.67303509218374,-198.25088649184497,"(1,1,0,0,1)"
Baseline (p=3),p90p100,Denmark,High income,42,ok,-291.75052012648615,-278.0419435928517,"(1,1,0,0,0)"
Baseline (p=3),p90p100,Egypt,Lower middle income,42,ok,-324.640131842635,-307.75133730149565,"(2,0,0,1,1)"
Baseline (p=3),p90p100,El Salvador,Lower middle income,42,ok,-215.09949955304708,-203.1044950861169,"(1,0,0,0,0)"
Baseline (p=3),p90p100,Finland,High income,42,ok,-277.3975144828111,-263.68893794917665,"(1,0,0,1,0)"
Baseline (p=3),p90p100,France,High income,42,ok,-305.50839509793377,-282.21853205211875,"(2,3,0,0,3)"
