spec,dv,country,ect_coefficient,ecm_r_squared
Baseline (p=3),p90p100,Algeria,-0.16484423930984904,0.49349642333070565
Baseline (p=3),p90p100,Argentina,-0.1393543805341828,0.3057892919408058
Baseline (p=3),p90p100,Australia,-0.34648353610665295,0.19053357836606363
Baseline (p=3),p90p100,Austria,-0.8687220646524578,0.4963368148195388
Baseline (p=3),p90p100,Bahamas,-0.47132489254835086,0.36109596456043996
Baseline (p=3),p90p100,Bahrain,-0.21396003597476665,0.7039344324025378
Baseline (p=3),p90p100,Bangladesh,-0.26922423706003396,0.767411260951216
Baseline (p=3),p90p100,Belgium,-0.5078221349114622,0.4317842254680733
Baseline (p=3),p90p100,Belize,-0.3359082644774254,0.3154978952681447
Baseline (p=3),p90p100,Bolivia,-0.08919336603023242,0.08462965912218022
Baseline (p=3),p90p100,Brazil,-0.4689702870770024,0.18768468279601958
Baseline (p=3),p90p100,Burkina Faso,-0.3145229196620314,0.6611882447521548
Baseline (p=3),p90p100,Canada,-0.013176858390570367,0.5021033242785959
Baseline (p=3),p90p100,Chile,-0.04490283875581802,0.4251904242467972
Baseline (p=3),p90p100,Colombia,-0.3907196653810061,0.21231678445515006
Baseline (p=3),p90p100,Costa Rica,-0.7798331441443599,0.35407204447101104
Baseline (p=3),p90p100,Cote d'Ivoire,-0.36531158486390125,0.3088103902612385
Baseline (p=3),p90p100,Cyprus,-0.6853067310630488,0.5501019385369559
Baseline (p=3),p90p100,Denmark,-0.5664805139133406,0.4523247331210643
Baseline (p=3),p90p100,Egypt,-0.2630864984280298,0.5646287718984396
Baseline (p=3),p90p100,El Salvador,-0.4662099673735043,0.2275709649697805
Baseline (p=3),p90p100,Finland,-0.14023752359770314,0.5623140152460855
Baseline (p=3),p90p100,France,-0.148580268266288,0.6165627964200786
Baseline (p=3),p90p100,Germany,-0.20441506912384522,0.3011255022125725
Baseline (p=3),p90p100,Ghana,-0.13658527900545825,0.5925857523785417
Baseline (p=3),p90p100,Greece,-0.14696827267466228,0.30356315766499126
Baseline (p=3),p90p100,Guatemala,-0.07139129194900051,0.05803122330961577
Baseline (p=3),p90p100,Guyana,-0.1688998532360232,0.13643078360408362
Baseline (p=3),p90p100,Haiti,-0.08409112652213147,0.0804508461024718
Baseline (p=3),p90p100,Honduras,-0.08153233637048551,0.12348566917460554
Baseline (p=3),p90p100,Iceland,-0.18155243161803003,0.38593593363489953
Baseline (p=3),p90p100,India,-0.413245684084782,0.42417799986858734
Baseline (p=3),p90p100,Indonesia,-0.3245238497655596,0.35996069230828814
Baseline (p=3),p90p100,Iran,-0.6396920068549562,0.3017130350607802
Baseline (p=3),p90p100,Ireland,-0.7044600065364508,0.5111368680174077
Baseline (p=3),p90p100,Italy,-0.25092232865816577,0.6070604196709388
Baseline (p=3),p90p100,Jamaica,-0.11994531494252192,0.12742966029864863
Baseline (p=3),p90p100,Japan,-0.20376965901738964,0.3862864613646378
Baseline (p=3),p90p100,Jordan,-0.30919746110726976,0.5199357887644397
Baseline (p=3),p90p100,Kenya,-0.04869940023931729,0.9426394869356044
Baseline (p=3),p90p100,Lebanon,-0.231712586076822,0.27348320771189855
Baseline (p=3),p90p100,Luxembourg,-0.4455049704973182,0.3161766858536285
Baseline (p=3),p90p100,Malaysia,-0.04501113830545023,0.23867361013327462
Baseline (p=3),p90p100,Malta,-0.41507333449165074,0.2713185969292649
Baseline (p=3),p90p100,Mauritania,-0.19945356053147645,0.6562503505712692
Baseline (p=3),p90p100,Mexico,-0.13905159486429197,0.7725851375257211
Baseline (p=3),p90p100,Netherlands,-0.47484915151193574,0.5742807612856635
Baseline (p=3),p90p100,New Zealand,-0.5211469385688423,0.4060794111615485
Baseline (p=3),p90p100,Norway,-0.17542456365258097,0.5998790791276727
Baseline (p=3),p90p100,Pakistan,-0.5401999904106503,0.5739081118192327
