spec,dv,income_group,estimate,se,zval,pval,ci.lb,ci.ub,estimate_pp
Baseline (p=3),p90p100,Low income,0.020903694103869552,0.02800939941014683,0.7463099725121871,0.4554801886270783,-0.033993719968615665,0.07580110817635477,0.020903694103869552
Baseline (p=3),p90p100,Lower middle income,-0.009609612132561245,0.019243722182029053,-0.4993634828887355,0.6175233399591492,-0.047326614537832726,0.02810739027271024,-0.009609612132561245
Baseline (p=3),p90p100,Upper middle income,-0.007433604014653325,0.02484348588665733,-0.29921743062014033,0.7647741504893689,-0.056125941602930815,0.04125873357362417,-0.007433604014653325
Baseline (p=3),p90p100,High income,-0.026715010114383094,0.01630198299694923,-1.6387583105308456,0.10126360472462866,-0.05866630966498791,0.005236289436221727,-0.026715010114383094
Baseline (p=3),p99p100,Low income,0.020882289950936415,0.020110744825848008,1.038364820983495,0.2991002410276955,-0.01853404561000092,0.060298625511873746,0.020882289950936415
Baseline (p=3),p99p100,Lower middle income,-0.0019975642915946693,0.012673207097220633,-0.1576210564753381,0.8747554103185692,-0.02683659377076451,0.022841465187575172,-0.0019975642915946693
Baseline (p=3),p99p100,Upper middle income,-0.0011653225650261924,0.014629255799614818,-0.0796569956112788,0.9365100632461089,-0.029838137052894943,0.027507491922842558,-0.0011653225650261924
Baseline (p=3),p99p100,High income,0.01085967841450063,0.010317737360107515,1.0525251841056231,0.29255866231698924,-0.009362715213253475,0.031082072042254733,0.01085967841450063
Baseline (p=3),gini,Low income,0.4416720826278294,4.16531593681215,0.10603567396279073,0.91555404799733,-7.722197137754699,8.605541303010357,0.004416720826278294
Baseline (p=3),gini,Lower middle income,0.18115123398934066,3.6519790567286723,0.04960357964144795,0.9604382940043334,-6.976596189493415,7.338898657472097,0.0018115123398934065
Baseline (p=3),gini,Upper middle income,1.311005845396137,2.8685968920865843,0.4570198932491092,0.647656746925865,-4.311340749257099,6.933352440049373,0.013110058453961371
Baseline (p=3),gini,High income,-1.7637674682786486,2.033358001646005,-0.8674161002887231,0.38571406339977904,-5.749075919181154,2.221540982623856,-0.017637674682786486
Baseline (p=2),p90p100,Low income,0.020903694103869552,0.02800939941014683,0.7463099725121871,0.4554801886270783,-0.033993719968615665,0.07580110817635477,0.020903694103869552
Baseline (p=2),p90p100,Lower middle income,-0.009609612132561245,0.019243722182029053,-0.4993634828887355,0.6175233399591492,-0.047326614537832726,0.02810739027271024,-0.009609612132561245
Baseline (p=2),p90p100,Upper middle income,-0.007433604014653325,0.02484348588665733,-0.29921743062014033,0.7647741504893689,-0.056125941602930815,0.04125873357362417,-0.007433604014653325
Baseline (p=2),p90p100,High income,-0.026715010114383094,0.01630198299694923,-1.6387583105308456,0.10126360472462866,-0.05866630966498791,0.005236289436221727,-0.026715010114383094
Baseline (p=2),p99p100,Low income,0.020882289950936415,0.020110744825848008,1.038364820983495,0.2991002410276955,-0.01853404561000092,0.060298625511873746,0.020882289950936415
Baseline (p=2),p99p100,Lower middle income,-0.0019975642915946693,0.012673207097220633,-0.1576210564753381,0.8747554103185692,-0.02683659377076451,0.022841465187575172,-0.0019975642915946693
Baseline (p=2),p99p100,Upper middle income,-0.0011653225650261924,0.014629255799614818,-0.0796569956112788,0.9365100632461089,-0.029838137052894943,0.027507491922842558,-0.0011653225650261924
Baseline (p=2),p99p100,High income,0.01085967841450063,0.010317737360107515,1.0525251841056231,0.29255866231698924,-0.009362715213253475,0.031082072042254733,0.01085967841450063
Baseline (p=2),gini,Low income,0.4416720826278294,4.16531593681215,0.10603567396279073,0.91555404799733,-7.722197137754699,8.605541303010357,0.004416720826278294
Baseline (p=2),gini,Lower middle income,0.18115123398934066,3.6519790567286723,0.04960357964144795,0.9604382940043334,-6.976596189493415,7.338898657472097,0.0018115123398934065
Baseline (p=2),gini,Upper middle income,1.311005845396137,2.8685968920865843,0.4570198932491092,0.647656746925865,-4.311340749257099,6.933352440049373,0.013110058453961371
Baseline (p=2),gini,High income,-1.7637674682786486,2.033358001646005,-0.8674161002887231,0.38571406339977904,-5.749075919181154,2.221540982623856,-0.017637674682786486
Composition,p90p100,Low income,0.049313242746116585,0.03738708049170967,1.3189915365831109,0.187171941930953,-0.02396408850473441,0.12259057399696757,0.049313242746116585
Composition,p90p100,Lower middle income,-0.011126982383506196,0.01574062186863581,-0.7068959839304327,0.4796311199135738,-0.04197803434029594,0.019724069573283553,-0.011126982383506196
Composition,p90p100,Upper middle income,0.0015233639059186324,0.025440941358164434,0.0598784409928982,0.9522524506745368,-0.04833996488887918,0.05138669270071644,0.0015233639059186324
Composition,p90p100,High income,0.003035837211252396,0.013856440201525924,0.21909214539229768,0.826578269212807,-0.024122286537671338,0.030193960960176132,0.003035837211252396
Composition,p99p100,Low income,0.053229173181799094,0.029753919944771213,1.7889801841438808,0.07361800691867422,-0.005087438308840474,0.11154578467243867,0.053229173181799094
Composition,p99p100,Lower middle income,0.0014755911212501692,0.009888605355417662,0.14922135814043164,0.8813789673133156,-0.017905719232698347,0.020856901475198683,0.0014755911212501692
Composition,p99p100,Upper middle income,-0.01521657387956427,0.01417770350476617,-1.0732749400810124,0.28314777550794085,-0.04300436213239325,0.012571214373264718,-0.01521657387956427
Composition,p99p100,High income,0.005248472749485605,0.00906390356579539,0.5790521392230891,0.5625539927234591,-0.012516451798817527,0.02301339729778874,0.005248472749485605
Composition,gini,Low income,-1.0878031964668944,3.8211101331356705,-0.28468250287625807,0.775887396890365,-8.577041438373858,6.40143504544007,-0.010878031964668943
Composition,gini,Lower middle income,-11.317494333787796,3.794101531687865,-2.982918153155757,0.0028551433502970987,-18.753796689584263,-3.8811919779913264,-0.11317494333787796
