spec,dv,subsample,k,estimate,se,z,p_value,ci_lo,ci_hi,tau2,i2,q,q_p,estimate_pp
Baseline (p=2),gini,All countries,52,-0.5294229474517049,1.354005912885134,-0.3910049006533534,0.6957936134619361,-3.183225771560845,2.1243798766574353,48.645808406454,89.20753285363404,426.663205234992,9.468819549126261e-61,-0.005294229474517049
Baseline (p=2),gini,"Cointegrated, p <= 0.05",16,-0.10278647097988006,3.5701284690422272,-0.02879069251181737,0.9770315241039883,-7.100109690483766,6.894536748524006,144.89334078678178,94.68747266292009,286.2647566892969,3.9682287396022654e-52,-0.0010278647097988005
Baseline (p=2),gini,"Cointegrated, p <= 0.10",23,-0.8823595008132921,2.2078428967464916,-0.399647774809317,0.6894159630910458,-5.209652061959001,3.444933060332416,81.14337516481442,96.23793549344504,396.56082492304654,2.1052303779714463e-70,-0.008823595008132921
Baseline (p=2),p90p100,All countries,68,-0.011936279922412934,0.009882268933495822,-1.2078481169395288,0.22710568941448553,-0.031305171117603794,0.007432611272777926,0.00360874024305724,83.88389042964965,269.5349307791262,4.202401017468619e-26,-0.011936279922412934
Baseline (p=2),p90p100,"Cointegrated, p <= 0.05",17,-0.005824066182612504,0.022934919029726546,-0.253938815962846,0.7995428266292677,-0.05077568146921885,0.03912754910399384,0.00572696012443526,88.99083378438091,90.78629239138385,1.791854419610644e-12,-0.005824066182612504
Baseline (p=2),p90p100,"Cointegrated, p <= 0.10",25,-0.010332188610070177,0.017977103416449373,-0.5747415682448619,0.56546608993766,-0.045566663852662906,0.024902286632522547,0.004892352882613997,86.60356466179466,133.6072901518031,3.434465367560767e-17,-0.010332188610070177
Baseline (p=2),p99p100,All countries,68,0.004065982581074514,0.005477743072828284,0.7422733280871375,0.4579217483679967,-0.006670196558232689,0.014802161720381717,9.33466240042636e-4,83.71445864557722,215.71116545763437,1.5916735524047945e-17,0.004065982581074514
Baseline (p=2),p99p100,"Cointegrated, p <= 0.05",22,0.06245852335049563,0.0327056860239491,1.9097145158416702,0.056169980948997465,-0.0016434433461195927,0.12656049004711084,0.01816703274452173,98.74525852726032,139.54517878922516,1.6645259675783912e-19,0.06245852335049563
Baseline (p=2),p99p100,"Cointegrated, p <= 0.10",30,0.03974397041896752,0.021630086094987604,1.8374393076584883,0.06614506848823781,-0.0026502193097088025,0.08213816014764383,0.010987865231272405,98.50532851950989,169.47457241422566,8.686663496800793e-22,0.03974397041896752
Baseline (p=3),gini,All countries,52,-0.5294229474517049,1.354005912885134,-0.3910049006533534,0.6957936134619361,-3.183225771560845,2.1243798766574353,48.645808406454,89.20753285363404,426.663205234992,9.468819549126261e-61,-0.005294229474517049
