term,k,status,beta_RE,se_RE,z_RE,p_RE,ci95_lo,ci95_hi,tau2,I2,Q,Q_df,Q_p
(Intercept),16,ok,0.13994638433250506,0.06025396907617119,2.3226085597048254,0.020200190469989027,0.02185077501761938,0.2580419936473907,0.05431812602814941,98.99882595567412,170.35824582568435,15,2.071283756049064e-28
"L(gdp_x_debt, 1)",13,ok,0.02579005685854311,0.03832321864167796,0.672961660649647,0.5009716824007304,-0.04932207145079969,0.1009021851678859,0.008794897856592295,80.34474795177044,80.1607200045689,12,3.8459899679970035e-12
"L(gdp_x_debt, 2)",5,ok,0.860986152116294,1.7239111525505357,0.4994376600223628,0.6174710939184261,-2.5178176194296906,4.239789923662278,14.39264258277712,99.86891265700197,72.54697344350477,4,6.576955414623021e-15
"L(gdp_x_debt, 3)",1,skipped_k<3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L(growth, 1)",6,ok,-0.20284229919043895,0.0942845996414623,-2.1513831523047338,0.03144596987022225,-0.38763671878448314,-0.018047879596394784,0.03615869194764195,79.8994006228244,28.54817231769046,5,2.8433057956761467e-5
"L(growth, 2)",3,ok,0.09391825217076501,0.44154298484983795,0.21270466385669148,0.8315573287779288,-0.7714900957612321,0.959326600102762,0.5725221618124036,98.41405353156432,63.291919932072005,2,1.8044057909216975e-14
"L(growth, 3)",2,skipped_k<3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L(hc, 1)",8,ok,-0.16070699047211565,0.1916219370996284,-0.8386669757365024,0.40165621511222555,-0.5362790858351869,0.2148651048909556,0.2603112303082209,97.63744572966408,135.45516160331874,7,4.5468435276366996e-26
"L(hc, 2)",4,ok,0.11535521758954244,0.3465780911987943,0.33284047814602236,0.7392547014691306,-0.5639253589907326,0.7946357941698176,0.4417510145598094,96.47209638861804,82.92751317357406,3,7.22693483466606e-18
"L(hc, 3)",2,skipped_k<3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L(p90p100, 1)",16,ok,0.7633703079457276,0.09139533694812822,8.35239885793059,6.689033690279542e-17,0.5842387391724934,0.9425018767189618,0.11896671192127586,93.61195619294925,118.3261977268601,15,3.995390215580557e-18
"L(p90p100, 2)",7,ok,-0.1642993269711827,0.1450964110390913,-1.132345905695199,0.25748903754656804,-0.44868306689382154,0.12008441295145611,0.12890490303413174,88.90062609548148,47.51872600830045,6,1.4743363016965597e-8
"L(p90p100, 3)",1,skipped_k<3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L(public_debt, 1)",9,ok,-0.03470309938129946,0.04018524585962205,-0.8635781277169932,0.3878196837296399,-0.11346473397604598,0.04405853521344707,0.011179829858688402,94.54696924998963,95.87094893325443,8,2.972755888700536e-17
"L(public_debt, 2)",4,ok,-0.19082328374191293,0.2708440195397764,-0.7045504791509286,0.4810900254602477,-0.7216678074679372,0.3400212399841114,0.2777205264475528,98.35620974794752,28.605190722936676,3,2.7106929915955804e-6
"L(public_debt, 3)",2,skipped_k<3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gdp_x_debt,16,ok,-0.052105271664479744,0.028654892827615047,-1.8183725892098015,0.0690072049416108,-0.10826782958746034,0.004057286258500853,0.00111480737388171,8.802816968807276,21.0674761136751,15,0.1346872538105185
growth,16,ok,0.05589341346033023,0.026545817176611298,2.105545031387325,0.035243891769653514,0.0038645678539873454,0.1079222590666731,0.005578895507344254,90.36344696095448,36.94240726287012,15,0.0012902544256108615
hc,16,ok,0.0379686747272751,0.07143247088668175,0.5315324285437001,0.5950498755349913,-0.10203639553732705,0.17797374499187726,0.07304854207700386,99.85552972650692,111.07240704684604,15,1.0034206488505097e-16
public_debt,16,ok,0.016966737926304286,0.010408381619704862,1.6301033672884673,0.10307965217912199,-0.0034333151856659125,0.037366791038274484,8.729301266762438e-4,75.46814390569403,57.30488500995678,15,7.284564908865796e-7
