iso,variable,n_leading_missing
ABW,public_debt,21
AGO,public_debt,21
CHN,public_debt,21
DJI,public_debt,21
KHM,public_debt,21
ROU,public_debt,21
ALB,public_debt,20
RUS,public_debt,18
SDN,public_debt,18
RUS,growth,17
ATG,public_debt,16
ECU,public_debt,16
GIN,public_debt,16
QAT,public_debt,16
YEM,public_debt,16
YEM,growth,16
HUN,public_debt,15
NAM,public_debt,15
SAU,public_debt,15
KWT,public_debt,13
TWN,public_debt,13
GNB,public_debt,12
POL,public_debt,12
COM,public_debt,10
KNA,public_debt,10
ISR,public_debt,9
BTN,public_debt,8
BGR,public_debt,7
CPV,public_debt,7
LCA,public_debt,7
ABW,p90p100,6
AGO,p90p100,6
ALB,p90p100,6
ARE,p90p100,6
ARG,p90p100,6
ATG,p90p100,6
AUT,p90p100,6
BDI,p90p100,6
BEL,p90p100,6
BEN,p90p100,6
BFA,p90p100,6
BGD,p90p100,6
BGR,p90p100,6
BHR,p90p100,6
BHS,p90p100,6
BLZ,p90p100,6
BOL,p90p100,6
BRA,p90p100,6
BRB,p90p100,6
BTN,p90p100,6
BWA,p90p100,6
CAF,p90p100,6
CIV,p90p100,6
CMR,p90p100,6
COD,p90p100,6
COG,p90p100,6
COL,p90p100,6
COM,p90p100,6
CPV,p90p100,6
CRI,p90p100,6
CYP,p90p100,6
DJI,p90p100,6
DMA,p90p100,6
DZA,p90p100,6
ECU,p90p100,6
EGY,p90p100,6
ESP,p90p100,6
ETH,p90p100,6
FJI,p90p100,6
GAB,p90p100,6
GHA,p90p100,6
GIN,p90p100,6
GMB,p90p100,6
GNB,p90p100,6
GNQ,p90p100,6
GNQ,public_debt,6
GRD,p90p100,6
GTM,p90p100,6
GUY,p90p100,6
HND,p90p100,6
HTI,p90p100,6
IDN,p90p100,6
IRN,p90p100,6
ISL,p90p100,6
JAM,p90p100,6
JOR,p90p100,6
KEN,p90p100,6
KHM,p90p100,6
KNA,p90p100,6
KWT,p90p100,6
LAO,p90p100,6
LBN,p90p100,6
LBR,p90p100,6
LCA,p90p100,6
LKA,p90p100,6
LSO,p90p100,6
LUX,p90p100,6
MAR,p90p100,6
MDG,p90p100,6
MDV,p90p100,6
MEX,p90p100,6
MLI,p90p100,6
MLT,p90p100,6
MMR,p90p100,6
MRT,p90p100,6
NAM,p90p100,6
NER,p90p100,6
NGA,p90p100,6
NPL,p90p100,6
OMN,p90p100,6
PAK,p90p100,6
PAN,p90p100,6
PHL,p90p100,6
PRY,p90p100,6
QAT,p90p100,6
ROU,p90p100,6
RWA,p90p100,6
SAU,p90p100,6
SDN,p90p100,6
SEN,p90p100,6
SLE,p90p100,6
SLV,p90p100,6
STP,p90p100,6
SUR,p90p100,6
SWZ,p90p100,6
SYC,p90p100,6
SYR,p90p100,6
TCD,p90p100,6
TGO,p90p100,6
THA,p90p100,6
TTO,p90p100,6
TUN,p90p100,6
TUR,p90p100,6
TZA,p90p100,6
UGA,p90p100,6
URY,p90p100,6
VCT,p90p100,6
VEN,p90p100,6
YEM,p90p100,6
ZMB,p90p100,6
ARM,public_debt,5
ISR,p90p100,5
CHN,p90p100,4
EST,public_debt,4
GEO,public_debt,4
HRV,public_debt,4
LTU,public_debt,4
LVA,public_debt,4
MDA,public_debt,4
UKR,public_debt,4
AZE,public_debt,3
BLR,public_debt,3
KGZ,public_debt,3
MKD,public_debt,3
STP,public_debt,3
TWN,p90p100,3
BLZ,public_debt,2
KAZ,public_debt,2
LAO,public_debt,2
MDV,public_debt,2
POL,p90p100,2
RUS,p90p100,2
SVN,public_debt,2
CHE,p90p100,1
DMA,public_debt,1
IRL,p90p100,1
MUS,p90p100,1
NLD,p90p100,1
