country,iso,debt_obs,debt_missing,debt_pct_obs,n_from_gg,n_from_cg,max_consec_gap,reason,gini_obs,gini_missing,gini_pct_obs,gini_mean_sd
Albania,ALB,26,10,72.2,26,0,10,debt missing: 10 of 36,NA,NA,NA,NA
Angola,AGO,25,11,69.4,0,25,11,debt missing: 11 of 36,NA,NA,NA,NA
Antigua and Barbuda,ATG,30,6,83.3,0,30,6,debt missing: 6 of 36,NA,NA,NA,NA
Armenia,ARM,24,12,66.7,0,24,12,debt missing: 12 of 36,NA,NA,NA,NA
Azerbaijan,AZE,26,10,72.2,0,26,10,debt missing: 10 of 36,NA,NA,NA,NA
Belarus,BLR,26,10,72.2,16,10,10,debt missing: 10 of 36,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,22,14,61.1,22,0,14,debt missing: 14 of 36,NA,NA,NA,NA
Brunei Darussalam,BRN,19,17,52.8,0,19,17,debt missing: 17 of 36,NA,NA,NA,NA
Cambodia,KHM,25,11,69.4,25,0,11,debt missing: 11 of 36,NA,NA,NA,NA
China,CHN,25,11,69.4,25,0,11,debt missing: 11 of 36,NA,NA,NA,NA
Croatia,HRV,25,11,69.4,22,3,11,debt missing: 11 of 36,NA,NA,NA,NA
Czech Republic,CZE,27,9,75,25,2,9,debt missing: 9 of 36,NA,NA,NA,NA
Djibouti,DJI,25,11,69.4,0,25,11,debt missing: 11 of 36,NA,NA,NA,NA
Dominican Republic,DOM,20,16,55.6,0,20,16,debt missing: 16 of 36,NA,NA,NA,NA
Ecuador,ECU,29,7,80.6,0,29,6,debt missing: 7 of 36,NA,NA,NA,NA
Estonia,EST,25,11,69.4,25,0,11,debt missing: 11 of 36,NA,NA,NA,NA
Georgia,GEO,25,11,69.4,25,0,11,debt missing: 11 of 36,NA,NA,NA,NA
Guinea,GIN,30,6,83.3,0,30,6,debt missing: 6 of 36,NA,NA,NA,NA
Hong Kong SAR,HKG,19,17,52.8,0,19,17,debt missing: 17 of 36,NA,NA,NA,NA
Iraq,IRQ,16,20,44.4,0,16,20,debt missing: 20 of 36,NA,NA,NA,NA
Kazakhstan,KAZ,27,9,75,27,0,9,debt missing: 9 of 36,NA,NA,NA,NA
Kyrgyzstan,KGZ,26,10,72.2,26,0,10,debt missing: 10 of 36,NA,NA,NA,NA
Latvia,LVA,25,11,69.4,25,0,11,debt missing: 11 of 36,NA,NA,NA,NA
Liberia,LBR,20,16,55.6,0,20,16,debt missing: 16 of 36,NA,NA,NA,NA
Lithuania,LTU,25,11,69.4,25,0,11,debt missing: 11 of 36,NA,NA,NA,NA
Macedonia,MKD,26,10,72.2,26,0,10,debt missing: 10 of 36,NA,NA,NA,NA
Moldova,MDA,25,11,69.4,25,0,11,debt missing: 11 of 36,NA,NA,NA,NA
Mongolia,MNG,28,8,77.8,7,21,8,debt missing: 8 of 36,NA,NA,NA,NA
Montenegro,MNE,18,18,50,18,0,18,debt missing: 18 of 36,NA,NA,NA,NA
Mozambique,MOZ,21,15,58.3,0,21,15,debt missing: 15 of 36,NA,NA,NA,NA
Myanmar,MMR,28,8,77.8,0,28,5,debt missing: 8 of 36,NA,NA,NA,NA
Nicaragua,NIC,23,13,63.9,23,0,13,debt missing: 13 of 36,NA,NA,NA,NA
Peru,PER,21,15,58.3,21,0,15,debt missing: 15 of 36,NA,NA,NA,NA
Qatar,QAT,30,6,83.3,0,30,6,debt missing: 6 of 36,NA,NA,NA,NA
Romania,ROU,25,11,69.4,25,0,11,debt missing: 11 of 36,NA,NA,NA,NA
