dv,income_group,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
p90p100,High income,public_debt,0.009780050113624717,0.012516623277856036,0.7813649014209154,0.4407109624255522,-0.01578230485263958,0.03534240507988901,30,1264
p90p100,High income,growth,-0.020168154504226515,0.02277996357198689,-0.8853462140311681,0.3830115240319032,-0.0666910466628409,0.026354737654387866,30,1264
p90p100,High income,life_exp,0.00401954847685617,0.002864261837430851,1.4033453311871702,0.17078025091116214,-0.0018300545813636302,0.009869151535075971,30,1264
p90p100,High income,military_exp,0.2672418442658437,0.40310350189332933,0.6629608599544297,0.5124176898989817,-0.5560053346894767,1.090489023221164,30,1264
p90p100,High income,nonmil_g,-0.27289776917057473,0.11337480913262574,-2.4070406050372197,0.022442965332504377,-0.5044400191005463,-0.041355519240603156,30,1264
p90p100,High income,composite_inflation,0.018282145696470825,0.019455113873941055,0.9397090047855567,0.3548720248967432,-0.02145049750248306,0.05801478889542471,30,1264
p90p100,High income,public_debt:growth,0.03999028484777273,0.052841157452884494,0.7568018335599448,0.455071478945678,-0.06792575557733015,0.14790632527287562,30,1264
p90p100,Upper middle income,public_debt,0.0029417317936061,0.008087207994089707,0.3637512223941781,0.7198606864763377,-0.013927888472501326,0.019811352059713527,20,812
p90p100,Upper middle income,growth,-0.0175534039601119,0.013274832723474473,-1.3223069793618898,0.20098959375422668,-0.04524421978984842,0.010137411869624621,20,812
p90p100,Upper middle income,life_exp,-0.002132263033484763,0.002314611219693033,-0.9212186544950501,0.3679157112600897,-0.00696045743239589,0.0026959313654263645,20,812
p90p100,Upper middle income,military_exp,-0.25807842663726976,0.29971320539141816,-0.861084603530317,0.39939742966154745,-0.8832692177466546,0.36711236447211504,20,812
p90p100,Upper middle income,nonmil_g,0.008299098148875188,0.07706219159259071,0.10769351321787635,0.9153118606566246,-0.1524498166794679,0.16904801297721828,20,812
p90p100,Upper middle income,composite_inflation,-3.369661615449763e-5,6.676254675456588e-5,-0.5047233485321339,0.6192691024438541,-1.7296084833090037e-4,1.0556761602190509e-4,20,812
p90p100,Upper middle income,public_debt:growth,0.018454050187273634,0.019655860379689725,0.9388574110112262,0.35900505683431583,-0.022547356089320472,0.05945545646386774,20,812
p90p100,Lower middle income,public_debt,-0.007829535520970694,0.007919146521962798,-0.9886842602616862,0.33229073116609553,-0.024139323087855262,0.008480252045913876,25,1062
p90p100,Lower middle income,growth,0.043143855388414136,0.030857540600400423,1.398162476625058,0.17434631075721443,-0.020408439121260676,0.10669614989808895,25,1062
p90p100,Lower middle income,life_exp,7.14634561434848e-4,0.0016727676295303989,0.4272168762827324,0.6728784615726773,-0.002730494861380754,0.00415976398425045,25,1062
p90p100,Lower middle income,military_exp,0.2603022030879257,0.29103602835010084,0.8943985545830635,0.37963900487497604,-0.3390977175393087,0.8597021237151601,25,1062
p90p100,Lower middle income,nonmil_g,-0.08575833711135114,0.047680760740241745,-1.7985941453105334,0.08416891478182803,-0.18395870208048487,0.012442027857782603,25,1062
p90p100,Lower middle income,composite_inflation,1.2791152183907345e-4,6.516715653785938e-5,1.9628218973274094,0.060885808652776915,-6.302749423957077e-6,2.6212579310210394e-4,25,1062
p90p100,Lower middle income,public_debt:growth,-0.027310400295089944,0.036015381375120156,-0.7582982395948272,0.4553621307125779,-0.10148546672926298,0.0468646661390831,25,1062
p90p100,Low income,public_debt,0.0027965060155966236,0.0092960316597179,0.3008279358292856,0.765620791201522,-0.016188523395949526,0.02178153542714277,30,1121
p90p100,Low income,growth,0.019256810275648358,0.013635561726813584,1.4122491365926566,0.16816650366605848,-0.008590721865218368,0.04710434241651508,30,1121
p90p100,Low income,life_exp,-4.1422632917285885e-4,0.001691535781996417,-0.2448818012492604,0.8082152722200194,-0.003868803265592116,0.0030403506072463984,30,1121
p90p100,Low income,military_exp,0.5090567491064713,0.3099005047486442,1.6426457566416672,0.11089863437186406,-0.1238445159355358,1.1419580141484782,30,1121
p90p100,Low income,nonmil_g,-0.010516642008857196,0.06424076040920339,-0.16370668625134363,0.8710599726220692,-0.1417137775644203,0.12068049354670592,30,1121
p90p100,Low income,composite_inflation,-0.0012132826831552227,7.45355677809381e-4,-1.6277902205308088,0.11402811961549057,-0.002735502054093061,3.089366877826157e-4,30,1121
p90p100,Low income,public_debt:growth,-0.008296690281221764,0.013559825862537641,-0.6118581732043782,0.545241156341628,-0.03598954915252356,0.019396168590080035,30,1121
p99p100,High income,public_debt,-5.544961935085088e-4,0.004439397153042296,-0.12490348900830273,0.901433180204875,-0.009620954721748922,0.008511962334731903,30,1264
p99p100,High income,growth,-0.045601171421713285,0.015847733184546756,-2.8774570401134296,0.007317390836210555,-0.07796656039932423,-0.013235782444102347,30,1264
p99p100,High income,life_exp,0.002766586496350806,0.0026929568178987715,1.0273415741250116,0.3124721783781166,-0.0027331650388524834,0.008266338031554096,30,1264
p99p100,High income,military_exp,0.07600946649429409,0.265563324974297,0.28621974251019333,0.7766770962143328,-0.4663431975044874,0.6183621304930755,30,1264
p99p100,High income,nonmil_g,-0.1444588129645497,0.06179201002608958,-2.3378234969789276,0.026256984517382384,-0.2706549330603224,-0.01826269286877702,30,1264
p99p100,High income,composite_inflation,-0.010328231274797692,0.01220470574060283,-0.8462499214903273,0.40411325135366916,-0.03525356564609245,0.014597103096497067,30,1264
p99p100,High income,public_debt:growth,0.08223782302449313,0.025358944104847583,3.242951389635054,0.002898474580132836,0.030447949958280263,0.134027696090706,30,1264
p99p100,Upper middle income,public_debt,0.005033980017959421,0.008285438540960909,0.6075695321464061,0.5503100288554801,-0.012249141923052853,0.022317101958971693,20,812
p99p100,Upper middle income,growth,0.005392352204524608,0.014721794463560025,0.36628362241246976,0.7179995947826425,-0.025316772924622585,0.0361014773336718,20,812
p99p100,Upper middle income,life_exp,-0.001562039799818894,0.0016286178898986745,-0.9591198828818448,0.3489506022383786,-0.004959277187710791,0.0018351975880730035,20,812
p99p100,Upper middle income,military_exp,0.03427671636005591,0.3272841453854115,0.10473075718254383,0.9176326619819735,-0.6484260477835595,0.7169794805036713,20,812
p99p100,Upper middle income,nonmil_g,0.035752334409324904,0.06937915705752694,0.5153180858003252,0.6119799689668122,-0.10897005121479383,0.18047472003344364,20,812
p99p100,Upper middle income,composite_inflation,1.1711544222152468e-5,4.9693685270321736e-5,0.235674697065522,0.8160816218235006,-9.194766681167279e-5,1.1537075525597771e-4,20,812
