iso,n_distinct_p90,n_distinct_p99,flat_share_p90
ARE,21,21,0.48717948717948717
ARG,20,21,0.5128205128205128
AUS,41,39,0
AUT,34,34,0.02564102564102564
BDI,28,29,0.3076923076923077
BEL,38,36,0
BEN,17,18,0.5897435897435898
BFA,26,27,0.358974358974359
BGD,33,30,0.15384615384615385
BHR,21,21,0.48717948717948717
BHS,20,19,0.5128205128205128
BLZ,20,19,0.5128205128205128
BOL,20,19,0.5128205128205128
BRA,19,20,0.5384615384615384
BRB,34,34,0.15384615384615385
BWA,31,31,0.23076923076923078
CAF,28,29,0.3076923076923077
CAN,41,39,0.024390243902439025
CHE,35,38,0.025
CHL,22,22,0.4878048780487805
CIV,35,31,0.1282051282051282
CMR,23,25,0.41025641025641024
COD,16,17,0.6153846153846154
COG,7,7,0.8461538461538461
COL,18,19,0.5641025641025641
CRI,10,11,0.7692307692307693
CYP,36,38,0.02564102564102564
DEU,40,39,0
DMA,34,34,0.15384615384615385
DNK,40,39,0.024390243902439025
DZA,8,8,0.8205128205128205
EGY,30,28,0.2564102564102564
ESP,36,37,0
ETH,25,26,0.38461538461538464
FIN,42,40,0
FJI,40,41,0
FRA,42,42,0
GAB,13,13,0.6923076923076923
GBR,39,40,0.07317073170731707
GHA,29,29,0.2564102564102564
GMB,22,23,0.46153846153846156
GNQ,1,1,1
GRC,39,38,0
GRD,34,34,0.15384615384615385
GTM,20,19,0.5128205128205128
GUY,20,19,0.5128205128205128
HND,20,19,0.5128205128205128
HTI,20,19,0.5128205128205128
IDN,35,35,0.1282051282051282
IND,42,42,0
IRL,42,39,0
IRN,34,35,0.15384615384615385
ISL,31,30,0.1794871794871795
ITA,39,40,0.024390243902439025
JAM,20,19,0.5128205128205128
JOR,27,28,0.3076923076923077
JPN,39,36,0.04878048780487805
KEN,28,29,0.3076923076923077
KOR,39,40,0.04878048780487805
LAO,26,25,0.3333333333333333
LBN,15,15,0.6410256410256411
LKA,32,32,0.20512820512820512
LSO,32,32,0.20512820512820512
LUX,35,36,0.07692307692307693
MAR,1,1,1
MDG,40,41,0
MDV,16,16,0.6153846153846154
MEX,18,19,0.5641025641025641
MLI,26,27,0.358974358974359
MLT,38,39,0
MRT,33,32,0.1794871794871795
MUS,14,13,0.6829268292682927
MWI,25,24,0.4146341463414634
MYS,35,36,0.1282051282051282
NER,28,29,0.3076923076923077
NGA,34,35,0.1282051282051282
NLD,36,35,0
NOR,41,41,0
NPL,34,33,0.15384615384615385
NZL,41,42,0
OMN,1,1,1
PAK,30,30,0.20512820512820512
PAN,20,19,0.5128205128205128
PHL,32,34,0.1794871794871795
PRT,41,38,0
PRY,20,19,0.5128205128205128
RWA,20,21,0.5128205128205128
SEN,29,30,0.28205128205128205
SGP,39,35,0.07317073170731707
SLE,16,16,0.6153846153846154
SLV,19,20,0.5384615384615384
STP,18,18,0.5641025641025641
SWE,39,40,0.024390243902439025
SWZ,23,23,0.4358974358974359
SYC,20,20,0.5128205128205128
TCD,17,18,0.5897435897435898
TGO,14,15,0.6666666666666666
THA,38,40,0.02564102564102564
TTO,20,19,0.5128205128205128
TUN,9,9,0.7948717948717948
TUR,32,34,0.1794871794871795
TZA,27,27,0.3333333333333333
URY,20,20,0.5128205128205128
USA,42,41,0
VCT,34,34,0.15384615384615385
VEN,20,19,0.5128205128205128
ZAF,27,25,0.36585365853658536
ZMB,29,29,0.28205128205128205
ZWE,10,9,0.7948717948717948
